INFO 2025-06-26 05:23:52,682 autoreload Watching for file changes with StatReloader
DEBUG 2025-06-26 05:23:54,173 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1750094645.3225563
DEBUG 2025-06-26 05:23:54,183 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\cryptography\hazmat\primitives\_serialization.py first seen with mtime 1748619260.8933764
DEBUG 2025-06-26 05:23:54,186 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\jwt\types.py first seen with mtime 1748619239.5528433
DEBUG 2025-06-26 05:23:54,187 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1750094649.1169505
DEBUG 2025-06-26 05:23:54,196 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\csv.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,198 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\kombu\common.py first seen with mtime 1750062692.2434294
DEBUG 2025-06-26 05:23:54,199 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\six.py first seen with mtime 1750062688.1887362
DEBUG 2025-06-26 05:23:54,201 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\email\mime\base.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,204 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\requests\__version__.py first seen with mtime 1750488558.5732493
DEBUG 2025-06-26 05:23:54,205 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\tzdata\zoneinfo\Canada\__init__.py first seen with mtime 1748619232.675534
DEBUG 2025-06-26 05:23:54,207 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\cmudict\__init__.py first seen with mtime 1749993356.832783
DEBUG 2025-06-26 05:23:54,214 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\rest_framework\exceptions.py first seen with mtime 1748619244.8648994
DEBUG 2025-06-26 05:23:54,217 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1750094646.2656486
DEBUG 2025-06-26 05:23:54,229 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1750094650.1685157
DEBUG 2025-06-26 05:23:54,233 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\operator.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,234 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\celery\loaders\app.py first seen with mtime 1750062694.4361012
DEBUG 2025-06-26 05:23:54,236 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\http\cookies.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,240 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\cryptography\hazmat\_oid.py first seen with mtime 1748619260.8933764
DEBUG 2025-06-26 05:23:54,254 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\cryptography\hazmat\primitives\_cipheralgorithm.py first seen with mtime 1748619260.8933764
DEBUG 2025-06-26 05:23:54,256 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1748619232.9886267
DEBUG 2025-06-26 05:23:54,257 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\allauth\socialaccount\urls.py first seen with mtime 1750488474.2097557
DEBUG 2025-06-26 05:23:54,267 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1750094650.357721
DEBUG 2025-06-26 05:23:54,270 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\allauth\socialaccount\providers\oauth2\utils.py first seen with mtime 1750488474.5293226
DEBUG 2025-06-26 05:23:54,279 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\rest_framework\parsers.py first seen with mtime 1748619244.8648994
DEBUG 2025-06-26 05:23:54,286 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1750094650.135761
DEBUG 2025-06-26 05:23:54,289 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\allauth\socialaccount\providers\oauth2\__init__.py first seen with mtime 1750488474.526326
DEBUG 2025-06-26 05:23:54,290 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\cryptography\hazmat\primitives\constant_time.py first seen with mtime 1748619260.877755
DEBUG 2025-06-26 05:23:54,298 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\unittest\result.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,300 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\idna\core.py first seen with mtime 1748619243.21944
DEBUG 2025-06-26 05:23:54,302 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\cryptography\hazmat\primitives\serialization\ssh.py first seen with mtime 1748619260.8933764
DEBUG 2025-06-26 05:23:54,306 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\rest_framework\mixins.py first seen with mtime 1748619244.8648994
DEBUG 2025-06-26 05:23:54,310 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\textstat\backend\counts\_count_words.py first seen with mtime 1749993357.294971
DEBUG 2025-06-26 05:23:54,316 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\textstat\backend\utils\_get_lang_root.py first seen with mtime 1749993357.3705266
DEBUG 2025-06-26 05:23:54,318 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1750094650.1516976
DEBUG 2025-06-26 05:23:54,320 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\forms\forms.py first seen with mtime 1750094650.1784916
DEBUG 2025-06-26 05:23:54,322 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\db\migrations\executor.py first seen with mtime 1750094650.0920005
DEBUG 2025-06-26 05:23:54,323 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\graphlib.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,324 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\click\formatting.py first seen with mtime 1750062693.8951075
DEBUG 2025-06-26 05:23:54,331 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1750094650.425666
DEBUG 2025-06-26 05:23:54,333 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\celery\app\builtins.py first seen with mtime 1750062694.3567693
DEBUG 2025-06-26 05:23:54,335 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\dateutil\_version.py first seen with mtime 1750062689.5399165
DEBUG 2025-06-26 05:23:54,337 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\dj_rest_auth\registration\views.py first seen with mtime 1750488290.508572
DEBUG 2025-06-26 05:23:54,339 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\test\client.py first seen with mtime 1750094650.3446095
DEBUG 2025-06-26 05:23:54,346 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1750094650.0302732
DEBUG 2025-06-26 05:23:54,347 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1750094647.4994137
DEBUG 2025-06-26 05:23:54,350 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_futures.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,353 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\cffi\error.py first seen with mtime 1748619262.1621733
DEBUG 2025-06-26 05:23:54,355 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\dj_rest_auth\jwt_auth.py first seen with mtime 1750488290.4105532
DEBUG 2025-06-26 05:23:54,355 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\concurrent\futures\__init__.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,357 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\contrib\admin\migrations\0003_logentry_add_action_flag_choices.py first seen with mtime 1750094645.9627695
DEBUG 2025-06-26 05:23:54,363 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\core\checks\files.py first seen with mtime 1750094649.7527752
DEBUG 2025-06-26 05:23:54,365 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\textstat\backend\utils\constants.py first seen with mtime 1749993357.376357
DEBUG 2025-06-26 05:23:54,367 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\process.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,368 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\textstat\backend\counts\_count_monosyllable_words.py first seen with mtime 1749993357.2887301
DEBUG 2025-06-26 05:23:54,369 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\contrib\postgres\fields\ranges.py first seen with mtime 1750094648.5780327
DEBUG 2025-06-26 05:23:54,370 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\db\models\query.py first seen with mtime 1750094650.131028
DEBUG 2025-06-26 05:23:54,371 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\timezone_field\forms.py first seen with mtime 1750094641.15256
DEBUG 2025-06-26 05:23:54,372 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\allauth\socialaccount\providers\google\__init__.py first seen with mtime 1750488474.4338448
DEBUG 2025-06-26 05:23:54,373 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\pprint.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,374 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1750094645.3302195
DEBUG 2025-06-26 05:23:54,379 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1750094650.0125115
DEBUG 2025-06-26 05:23:54,382 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\charset_normalizer\cd.py first seen with mtime 1748619261.8636787
DEBUG 2025-06-26 05:23:54,383 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1750094650.326452
DEBUG 2025-06-26 05:23:54,384 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\allauth\socialaccount\internal\statekit.py first seen with mtime 1750488474.212934
DEBUG 2025-06-26 05:23:54,384 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\textstat\backend\metrics\_text_standard.py first seen with mtime 1749993357.3293858
DEBUG 2025-06-26 05:23:54,388 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1750094650.1604302
DEBUG 2025-06-26 05:23:54,389 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1750094649.772496
DEBUG 2025-06-26 05:23:54,390 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\cryptography\hazmat\primitives\asymmetric\ed25519.py first seen with mtime 1748619260.8621335
DEBUG 2025-06-26 05:23:54,398 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\textstat\backend\utils\_get_cmudict.py first seen with mtime 1749993357.3633275
DEBUG 2025-06-26 05:23:54,399 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\urllib3\util\wait.py first seen with mtime 1750488557.8957765
DEBUG 2025-06-26 05:23:54,406 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\views\generic\list.py first seen with mtime 1750094650.428667
DEBUG 2025-06-26 05:23:54,407 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1750094649.120261
DEBUG 2025-06-26 05:23:54,414 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\rest_framework\templatetags\rest_framework.py first seen with mtime 1748619245.0842695
DEBUG 2025-06-26 05:23:54,416 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\db\backends\postgresql\operations.py first seen with mtime 1750094650.0721064
DEBUG 2025-06-26 05:23:54,418 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\celery\utils\time.py first seen with mtime 1750062694.4607463
DEBUG 2025-06-26 05:23:54,419 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1750094650.031261
DEBUG 2025-06-26 05:23:54,420 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\utils\_os.py first seen with mtime 1750094650.36172
DEBUG 2025-06-26 05:23:54,421 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\textstat\backend\metrics\_szigriszt_pazos.py first seen with mtime 1749993357.3283887
DEBUG 2025-06-26 05:23:54,422 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\http\response.py first seen with mtime 1750094650.297392
DEBUG 2025-06-26 05:23:54,428 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\kombu\utils\uuid.py first seen with mtime 1750062692.3249166
DEBUG 2025-06-26 05:23:54,435 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\kombu\pools.py first seen with mtime 1750062692.254572
DEBUG 2025-06-26 05:23:54,436 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\cryptography\hazmat\decrepit\ciphers\algorithms.py first seen with mtime 1748619260.8621335
DEBUG 2025-06-26 05:23:54,437 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\db\models\fields\generated.py first seen with mtime 1750094650.1404557
DEBUG 2025-06-26 05:23:54,444 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\http\client.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,450 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1750094645.3265862
DEBUG 2025-06-26 05:23:54,451 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\core\management\commands\migrate.py first seen with mtime 1750094649.982316
DEBUG 2025-06-26 05:23:54,452 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\allauth\socialaccount\providers\oauth2\provider.py first seen with mtime 1750488474.5283253
DEBUG 2025-06-26 05:23:54,453 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\shortcuts.py first seen with mtime 1750094644.7898197
DEBUG 2025-06-26 05:23:54,454 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1750094646.5939808
DEBUG 2025-06-26 05:23:54,455 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1750488557.8646462
DEBUG 2025-06-26 05:23:54,456 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\idna\idnadata.py first seen with mtime 1748619243.21944
DEBUG 2025-06-26 05:23:54,457 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\tzdata\zoneinfo\US\__init__.py first seen with mtime 1748619232.8167815
DEBUG 2025-06-26 05:23:54,462 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\cryptography\utils.py first seen with mtime 1748619260.9089978
DEBUG 2025-06-26 05:23:54,464 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1750094650.153137
DEBUG 2025-06-26 05:23:54,465 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\gzip.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,467 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\cryptography\__init__.py first seen with mtime 1748619260.9089978
DEBUG 2025-06-26 05:23:54,468 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1750094649.7390974
DEBUG 2025-06-26 05:23:54,471 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1750094650.3396494
DEBUG 2025-06-26 05:23:54,472 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\inspect.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,473 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\rest_framework\fields.py first seen with mtime 1748619244.8648994
DEBUG 2025-06-26 05:23:54,476 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\shutil.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,481 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\email\feedparser.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,482 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1750094649.7380977
DEBUG 2025-06-26 05:23:54,483 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\forms\utils.py first seen with mtime 1750094650.1835964
DEBUG 2025-06-26 05:23:54,484 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1750094649.9673424
DEBUG 2025-06-26 05:23:54,486 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\db\backends\postgresql\schema.py first seen with mtime 1750094650.0741072
DEBUG 2025-06-26 05:23:54,489 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\rest_framework\generics.py first seen with mtime 1748619244.8648994
DEBUG 2025-06-26 05:23:54,490 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\forms\__init__.py first seen with mtime 1750094650.1743443
DEBUG 2025-06-26 05:23:54,497 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\charset_normalizer\utils.py first seen with mtime 1748619261.8636787
DEBUG 2025-06-26 05:23:54,501 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\charset_normalizer\__init__.py first seen with mtime 1748619261.8636787
